date,objectivity,sentiment
2015-03-31T16:20:14.000Z,0,1
2015-03-31T16:21:36.000Z,1,0
2015-03-31T16:37:28.000Z,1,0
2015-03-31T16:42:29.000Z,1,0
2015-03-31T16:43:12.000Z,1,0
2015-03-31T16:59:13.000Z,0,1
2015-03-31T17:00:56.000Z,0,2
2015-03-31T17:03:40.000Z,0,1
2015-03-31T17:12:59.000Z,1,0
2015-03-31T17:21:15.000Z,1,0
2015-03-31T17:47:22.000Z,1,0
2015-03-31T18:32:28.000Z,0,0
2015-03-31T18:37:26.000Z,0,-1
2015-03-31T18:49:46.000Z,1,0
2015-03-31T19:06:42.000Z,0,1
2015-03-31T19:12:19.000Z,0,1
2015-03-31T19:41:49.000Z,0,1
2015-03-31T19:46:45.000Z,1,0
2015-03-31T19:57:18.000Z,0,2
2015-03-31T20:59:26.000Z,1,0
2015-03-31T21:03:01.000Z,0,-1
2015-03-31T21:06:50.000Z,1,0
2015-03-31T21:42:47.000Z,0,0
2015-03-31T21:54:51.000Z,0,1
2015-03-31T22:12:34.000Z,0,1
2015-04-01T02:30:17.000Z,1,0
2015-04-01T02:38:34.000Z,1,0
2015-04-01T02:47:49.000Z,1,0
2015-04-01T02:48:53.000Z,1,0
2015-04-01T02:59:37.000Z,1,0
2015-04-01T05:41:47.000Z,1,0
2015-04-01T05:46:07.000Z,1,0
2015-04-01T05:56:16.000Z,1,0
2015-04-01T06:07:19.000Z,1,0
2015-04-01T07:14:48.000Z,0,2
2015-04-01T07:33:14.000Z,1,0
2015-04-01T08:31:19.000Z,1,0
2015-04-01T08:42:17.000Z,0,1
2015-04-01T08:46:11.000Z,0,0
2015-04-01T10:32:11.000Z,0,1
2015-04-01T13:45:48.000Z,0,1
2015-04-01T13:49:39.000Z,1,0
2015-04-01T17:03:34.000Z,0,2
2015-04-01T20:17:20.000Z,0,-1
2015-04-01T21:13:22.000Z,1,0
2015-04-02T05:16:29.000Z,1,0
2015-04-02T11:41:19.000Z,0,0
2015-04-02T14:28:55.000Z,0,1
2015-04-02T15:02:54.000Z,0,1
2015-04-02T16:37:28.000Z,0,-1
2015-04-02T22:19:25.000Z,0,-1
2015-04-03T11:06:40.000Z,0,1
2015-04-03T11:52:00.000Z,0,1
2015-04-05T01:11:32.000Z,0,1
2015-04-05T11:50:33.000Z,0,1
2015-04-06T00:26:18.000Z,1,0
2015-04-06T08:22:37.000Z,1,0
2015-04-06T13:01:47.000Z,1,0
2015-04-06T14:30:54.000Z,1,0
2015-04-06T18:42:21.000Z,0,1
2015-04-07T11:54:11.000Z,1,0
2015-04-07T12:12:53.000Z,0,1
2015-04-07T13:13:03.000Z,1,0
2015-04-07T20:54:37.000Z,0,-1
2015-04-08T17:09:35.000Z,1,0
2015-04-08T22:20:43.000Z,0,1
2015-04-09T09:38:04.000Z,0,1
2015-04-09T14:49:02.000Z,0,-1
2015-04-09T18:20:32.000Z,0,1
2015-04-09T18:33:53.000Z,0,0
2015-04-09T18:43:52.000Z,0,1
2015-04-10T19:52:41.000Z,0,2
2015-04-11T00:32:05.000Z,0,-1
2015-04-11T08:10:34.000Z,0,0
2015-04-11T08:33:27.000Z,1,0
2015-04-11T09:34:36.000Z,1,0
2015-04-11T10:22:50.000Z,1,0
2015-04-11T11:31:01.000Z,0,-1
2015-04-11T11:49:52.000Z,0,1
2015-04-11T17:29:49.000Z,1,0
2015-04-11T19:09:42.000Z,1,0
2015-04-11T19:33:33.000Z,0,1
2015-04-11T20:50:52.000Z,1,0
2015-04-11T21:04:35.000Z,0,0
2015-04-11T22:07:50.000Z,0,0
2015-04-12T06:02:52.000Z,0,1
2015-04-12T06:33:25.000Z,0,0
2015-04-12T07:37:08.000Z,1,0
2015-04-12T08:54:17.000Z,1,0
2015-04-12T11:20:32.000Z,1,0
2015-04-12T12:14:43.000Z,1,0
2015-04-12T12:31:30.000Z,1,0
2015-04-12T18:54:18.000Z,0,1
2015-04-12T20:27:20.000Z,0,0
2015-04-12T21:39:41.000Z,1,0
